Phase / Milestone,Task ID,Task & Description,Module / Service,Status,TDD: RED commit,TDD: GREEN commit,Test coverage,FR IDs,Key Deliverables / Artifacts,Last Updated
Milestone 1: Host creates an event,T1.1,"Task 1: Scaffold & Tooling — Go API skeleton: JSON response envelope, health endpoint, API entrypoint","internal/httpx, internal/health, cmd/api",Completed,aae2ee6,bbc37ea 0bd97a3,100%,,"httpx.WriteSuccess/WriteError ({success,data,error}); GET /healthz; graceful-shutdown server (later replaced by T3.7)",2026-09-19
Milestone 1: Host creates an event,T1.2,Task 1: Scaffold & Tooling — SvelteKit web app scaffold with Vitest and the client-side API envelope parser,apps/web,Completed,5fa9976,4443ea5,100% lines / 91.7% branches,,"apps/web (Svelte 5, Vite 8); src/lib/api/envelope.ts with ApiError; Vitest with an 80% coverage threshold; svelte-check clean",2026-09-19
Milestone 1: Host creates an event,T1.3,Task 1: Scaffold & Tooling — Local dev infrastructure and the validation script,"deploy, scripts/check.sh",Completed,n/a (tooling),20ade0e cbeb530,n/a,,"deploy/docker-compose.yml (Postgres, Redis, Mailpit, localhost-only); .env.example; scripts/check.sh; CLAUDE.md commands",2026-09-19
Milestone 1: Host creates an event,T2.1,"Task 2: Schema & Category Presets — Migration runner and the hosts, event_categories and events schema",internal/db (migrations 0001-0003),Completed,9fe108b,45b058c b0b5b25,94.7%,"FR-01.1, FR-01.2, FR-01.3, FR-01.4",goose runner (db.Up/db.Down); tables with constraints and indexes; six seeded categories with undefined defaults stored as 'tbd'; internal/testdb (fresh database per test),2026-09-19
Milestone 1: Host creates an event,T3.1,Task 3: Email OTP Auth for Hosts — cmd/migrate CLI to apply or revert SQL migrations,cmd/migrate,Completed,f5935c9,a1e047f b2ef0ef,80.6%,,"go run ./cmd/migrate [up|down] reading DATABASE_URL; run(ctx, args, getenv, out) is unit-testable",2026-09-19
Milestone 1: Host creates an event,T3.2,Task 3: Email OTP Auth for Hosts — Restructure the Go backend under apps/api,apps/api (all Go code),Completed,n/a (pure move; existing tests unchanged),aebe62e,unchanged (all packages),,"go.mod moved to apps/api (module path unchanged); cmd, internal moved; db became internal/db; scripts/check.sh runs Go steps in apps/api",2026-09-19
Milestone 1: Host creates an event,T3.3,Task 3: Email OTP Auth for Hosts — gRPC contracts and the proto generation script,"api/proto/v1, gen/go, scripts/proto-gen.sh",Completed,409a125,24c7281,n/a (generated code),FR-09.1,"auth.proto (implemented) and event.proto (contract only); buf.yaml, buf.gen.yaml; committed gen/go; proto-gen.sh --check drift detection wired into check.sh",2026-09-19
Milestone 1: Host creates an event,T3.4,Task 3: Email OTP Auth for Hosts — Environment configuration with validation and secret redaction,internal/config,Completed,730db37,3b1ab82,100%,,"config.Load(getenv) reports every problem at once, never echoes secret values; Config.String() redacts secrets",2026-09-19
Milestone 1: Host creates an event,T3.5,"Task 3: Email OTP Auth for Hosts — Auth core: OTP lifecycle, Redis state, Postgres hosts, SMTP mailer, sessions",services/auth,Completed,1043ded,3c45e13,80.2% at this commit (84.6% package total after T3.6),"FR-09.1, FR-SEC.9, FR-SEC.4","6-digit code stored as HMAC with 5 min TTL, single use; per-email and per-client rate limits; lockout after 5 wrong attempts for 15 min; hashed 12 h sessions; Postgres find-or-create host; SMTP mailer with header-injection guards",2026-09-19
Milestone 1: Host creates an event,T3.6,Task 3: Email OTP Auth for Hosts — HTTP and gRPC adapters and the RequireHost middleware,services/auth,Completed,ffed71f,ce4729e,84.6%,"FR-09.1, FR-SEC.4, FR-SEC.9","POST /api/v1/auth/otp/request and /verify; HttpOnly SameSite=Lax session cookie, token never in a body; Retry-After on 429; X-Forwarded-For ignored; sela.auth.v1.AuthService server; RequireHost + HostID(ctx)",2026-09-19
Milestone 1: Host creates an event,T3.7,"Task 3: Email OTP Auth for Hosts — Wire config, Postgres, Redis, SMTP and auth into the API with an end-to-end test",cmd/api,Completed,5a3dbe0 578bab2,2bffd81 218243d,81.7%,FR-09.1,"HTTP :8080 + gRPC :9090 in one process; run(ctx, getenv) with graceful shutdown; end-to-end test over HTTP and gRPC against real Postgres, in-process Redis and SMTP; .env.example documents the variables",2026-09-19
Milestone 1: Host creates an event,T3.8,Task 3: Email OTP Auth for Hosts — Verify against the real docker-compose Redis and Mailpit (Docker was not running during development),"deploy, cmd/api",Completed,n/a,n/a,n/a,FR-09.1,"Verified live on 2026-09-20 against docker compose Redis 7 (password) and Mailpit with the real cmd/api, via apps/web/tests/e2e/auth-live.spec.ts (6 checks, all pass, no service change needed) and the host happy path (sign-in read from the Mailpit inbox). Checked: email delivery and format, wrong/right code, cookie flags, no token in body, single use, hashes-only in Redis, rate limit (429 + Retry-After), lockout after 5 wrong codes.",2026-09-20
Milestone 1: Host creates an event,T3.9,Task 3: Email OTP Auth for Hosts — Docs sync and this progress tracker,"docs (FSD v2.5), docs/tracking",Completed,n/a (documentation),"n/a (docs/ is gitignored, not committed)",n/a,,"FSD v2.5 (2.6, 4.9 note, 5 notes, 6 endpoints and gRPC, 8.6 parameters, 11.1 status); SELA_Progress_Tracker.xlsx and its build script scripts/build_tracker.py",2026-09-19
