FR ID,Requirement (from FSD),FSD section,Milestone,Status,Tracker task(s),Evidence
FR-01.1,Sistem menyediakan daftar kategori acara dengan template tema & pengaturan default masing-masing.,4.1,Milestone 1: Host creates an event,Completed,"T2.1, T4.1, T4.2, T6.1","category presets with effective defaults over REST and gRPC; host category picker at /events/new shows each preset's defaults (category default numbers are still tbd, awaiting product)"
FR-01.2,"Sistem menyediakan formulir pembuatan event minimal (nama, tanggal) dengan field lain opsional.",4.1,Milestone 1: Host creates an event,Completed,"T2.1, T4.1, T4.2, T6.1",create-event API with validation; host form at /events/new with name and date required and overrides collapsed; time zone shown read-only as WIB because the API takes none
FR-01.3,Sistem menghasilkan QR code unik dan tautan pendek (short link) per event.,4.1,Milestone 1: Host creates an event,Completed,"T2.1, T4.1, T4.2, T5.1, T6.1","unique short_code, short_link = base/e/code, owner-only QR PNG/SVG, public GET /e/{short_code} resolver (guest-safe metadata, identical 404s); host result screen /events/[id] with copy link and PNG/SVG download"
FR-01.4,Sistem menyimpan konfigurasi jumlah jepretan maksimum (termasuk opsi tak terbatas) dan mode reveal per event.,4.1,Milestone 1: Host creates an event,Completed,"T2.1, T4.1, T4.2","shot_limit (NULL/0 = unlimited), reveal_mode and reveal_at stored per event; per-category numeric defaults remain tbd pending product"
FR-01.5,"Sistem merekomendasikan paket berdasarkan kategori & estimasi skala acara, namun tetap dapat diubah bebas oleh host.",4.1,Milestone 5: Plans and payment,Not Started,M5.1,
FR-01.6,"Sistem mengintegrasikan payment gateway untuk paket berbayar, termasuk nominal mikro (QRIS, e-wallet, kartu).",4.1,Milestone 5: Plans and payment,Not Started,M5.1,
FR-02.1,Sistem memvalidasi token event dari QR/tautan sebelum menampilkan kamera.,4.2,Milestone 2: Guest captures and uploads,Not Started,,
FR-02.2,Sistem membuat & menyimpan guest session ID unik per perangkat/browser (jika event menerapkan batas jepretan).,4.2,Milestone 2: Guest captures and uploads,Partial,T8.1,"guest_sessions table (one row per device session, optional nickname, no fingerprint); session creation and the guest cookie are not built yet"
FR-02.3,Sistem menampilkan pesan status sesuai kondisi event (belum mulai/aktif/berakhir).,4.2,Milestone 2: Guest captures and uploads,Not Started,,
FR-02.4,Sistem menampilkan tema visual kamera sesuai kategori acara terkait.,4.2,Milestone 2: Guest captures and uploads,Not Started,,
FR-03.1,Sistem menyediakan akses kamera perangkat via Web API (getUserMedia) dengan fallback unggah manual.,4.3,Milestone 2: Guest captures and uploads,Not Started,,
FR-03.2,Sistem menerapkan filter visual sesuai tema kategori acara yang dipilih host.,4.3,Milestone 2: Guest captures and uploads,Not Started,,
FR-03.3,Sistem menegakkan (atau membebaskan) batas jumlah jepretan per sesi tamu sesuai konfigurasi event.,4.3,Milestone 2: Guest captures and uploads,Not Started,,
FR-03.4,Sistem mengantrekan unggahan secara offline-first saat koneksi tidak stabil.,4.3,Milestone 2: Guest captures and uploads,Not Started,,
FR-03.5,Sistem menyediakan pilihan format kolase/strip photobooth dengan hitung mundur & burst capture otomatis.,4.3,Milestone 2: Guest captures and uploads,Not Started,,
FR-03.6,"Sistem membatasi kustomisasi tampilan hasil pada layout, warna aksen, dan teks singkat saja (tanpa editor bebas).",4.3,Milestone 2: Guest captures and uploads,Not Started,,
FR-04.1,"Sistem mendukung unggah multi-file dengan validasi format (JPEG/PNG/HEIC, MP4/MOV) dan batas ukuran.",4.4,Milestone 2: Guest captures and uploads,Not Started,,
FR-04.2,Sistem menyediakan toggle host untuk mengaktifkan/menonaktifkan unggah galeri per event.,4.4,Milestone 2: Guest captures and uploads,Not Started,,
FR-05.1,Sistem menjalankan job terjadwal untuk memeriksa & memicu status reveal per event.,4.5,Milestone 3: Role-correct gallery,Not Started,,
FR-05.2,Sistem menampilkan halaman countdown bagi tamu saat Hall of Fame/ringkasan acara masih terkunci.,4.5,Milestone 3: Role-correct gallery,Not Started,,
